,address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated,data_time
0,Мячковский б-р 3а,435,1,1,1280741941,https://vk.com/images/places/clubs.png,55.657941,37.751574,1,Baila Baila,4,1487519142.0,2010-08-02 13:39:01
9,Гурьянова 31,13,1,1,1280741941,https://vk.com/images/places/clubs.png,55.684858,37.7183,10,Salvador Dali,4,1445916103.0,2010-08-02 13:39:01
14,2-я Брестская 6,5,1,1,1280741941,https://vk.com/images/places/clubs.png,55.770968,37.591562,15,Моспроект,4,1444136906.0,2010-08-02 13:39:01
19,Лубянский пр. 25К1,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.757116,37.63146,20,Дом Кукера,4,1344699423.0,2010-08-02 13:39:01
21,Новослободская 26,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.783104,37.598025,22,Хроника-бар,4,1398172658.0,2010-08-02 13:39:01
23,ская 208,0,72,1,1280741941,https://vk.com/images/places/clubs.png,55.676783,37.762449,24,СУ-27,4,1449301456.0,2010-08-02 13:39:01
27,1-я Останкинская 23,4,1,1,1280741941,https://vk.com/images/places/clubs.png,55.82439,37.622387,28,Club 23,4,1478494262.0,2010-08-02 13:39:01
31,Щелковское ш. 5,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.80402,37.755266,32,Каста,4,1476629730.0,2010-08-02 13:39:01
32,Зеленодольская 43,9,1,1,1280741941,https://vk.com/images/places/clubs.png,55.702617,37.766585,33,Campanello,4,1418312932.0,2010-08-02 13:39:01
34,Покровка 18К18,49,1,1,1280741941,https://vk.com/images/places/clubs.png,55.758808,37.646435,35,Карибы,4,1464394100.0,2010-08-02 13:39:01
38,Кастанаевская 38,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.73587,37.479627,39,Стрела,4,1427931040.0,2010-08-02 13:39:01
40,новочеркасский 29К1,176,1,1,1280741941,https://vk.com/images/places/clubs.png,55.653665,37.76672,41,Жажда,4,1488936401.0,2010-08-02 13:39:01
43,просп. Мира 119,4,1,1,1280741941,https://vk.com/images/places/clubs.png,55.828703,37.633688,44,M-Club,4,1343241861.0,2010-08-02 13:39:01
